draw_id,date,num1,num2,num3,num4,num5
444,2008/2/12,1,11,17,30,31
445,2008/2/19,7,16,18,26,31
446,2008/2/26,10,11,15,16,17
447,2008/3/4,14,17,20,25,26
448,2008/3/11,1,7,12,17,18
449,2008/3/18,7,8,10,11,20
450,2008/3/25,2,5,8,13,27
451,2008/4/1,3,7,12,14,16
452,2008/4/8,2,12,16,18,30
453,2008/4/15,4,7,12,17,27
454,2008/4/22,2,5,13,20,24
455,2008/4/29,1,10,16,24,26
456,2008/5/6,6,8,10,16,20
457,2008/5/13,2,16,17,22,28
458,2008/5/20,6,8,15,24,31
459,2008/5/27,12,13,26,27,29
460,2008/6/3,10,11,25,27,30
461,2008/6/10,6,12,17,20,26
462,2008/6/17,4,19,22,25,29
463,2008/6/24,12,13,16,21,23
464,2008/7/1,1,12,16,22,28
465,2008/7/8,13,18,21,25,28
466,2008/7/15,15,16,19,20,29
467,2008/7/22,1,2,13,15,23
468,2008/7/29,7,8,13,24,27
469,2008/8/5,5,9,12,16,19
470,2008/8/12,11,15,22,30,31
471,2008/8/19,13,17,20,23,30
472,2008/8/26,4,15,17,20,21
473,2008/9/2,4,5,18,20,26
474,2008/9/9,5,12,14,18,23
475,2008/9/16,8,9,12,14,24
476,2008/9/23,3,10,12,20,24
477,2008/9/30,1,4,13,20,28
478,2008/10/7,3,17,18,22,25
479,2008/10/14,14,22,26,27,29
480,2008/10/21,5,7,18,25,31
481,2008/10/28,3,7,13,16,25
482,2008/11/4,2,16,20,24,29
483,2008/11/11,7,20,23,27,29
484,2008/11/18,1,3,4,19,29
485,2008/11/25,3,8,10,15,31
486,2008/12/2,5,8,20,22,26
487,2008/12/9,15,17,20,22,29
488,2008/12/16,10,15,17,23,29
489,2008/12/23,2,4,9,22,31
490,2008/12/30,7,9,13,21,24
491,2009/1/6,8,10,16,20,23
492,2009/1/13,3,8,9,11,20
493,2009/1/20,1,11,12,13,17
494,2009/1/27,2,10,14,26,28
495,2009/2/3,7,10,22,26,27
496,2009/2/10,4,10,11,22,30
497,2009/2/17,4,21,23,27,28
498,2009/2/24,2,15,20,23,30
499,2009/3/3,2,8,14,15,26
500,2009/3/10,19,20,23,25,28
501,2009/3/17,12,13,16,17,21
502,2009/3/24,2,3,5,13,14
503,2009/3/31,11,18,21,23,27
504,2009/4/7,8,10,24,28,31
505,2009/4/14,5,16,19,20,22
506,2009/4/21,4,14,15,23,24
507,2009/4/28,10,19,26,27,28
508,2009/5/5,3,6,9,14,25
509,2009/5/12,2,13,22,29,30
510,2009/5/19,18,19,21,23,30
511,2009/5/26,13,16,26,28,31
512,2009/6/2,8,14,25,29,30
513,2009/6/9,3,11,18,19,25
514,2009/6/16,15,16,21,25,30
515,2009/6/23,5,21,24,25,26
516,2009/6/30,3,12,14,15,26
517,2009/7/7,12,26,28,29,30
518,2009/7/14,11,16,18,20,27
519,2009/7/21,2,9,25,29,31
520,2009/7/28,2,3,11,14,30
521,2009/8/4,4,9,14,25,26
522,2009/8/11,4,19,22,23,27
523,2009/8/18,8,17,18,19,24
524,2009/8/25,7,10,17,22,24
525,2009/9/1,1,14,21,25,27
526,2009/9/8,4,5,16,21,31
527,2009/9/15,11,13,15,23,25
528,2009/9/22,2,11,14,15,21
529,2009/9/29,5,7,14,16,20
530,2009/10/6,2,3,5,16,19
531,2009/10/13,13,21,22,26,27
532,2009/10/20,5,10,21,27,28
533,2009/10/27,6,13,19,23,31
534,2009/11/3,7,22,25,26,30
535,2009/11/10,18,20,23,24,31
536,2009/11/17,14,18,20,22,24
537,2009/11/24,9,10,27,29,30
538,2009/12/1,8,10,13,20,21
539,2009/12/8,9,18,23,26,29
540,2009/12/15,2,19,22,27,29
541,2009/12/22,1,9,10,16,23
542,2009/12/29,3,9,11,20,27
543,2010/1/5,4,7,17,22,25
544,2010/1/12,3,9,18,29,30
545,2010/1/19,1,15,23,28,29
546,2010/1/26,3,8,19,22,29
547,2010/2/2,5,23,25,29,31
548,2010/2/9,5,6,16,23,29
549,2010/2/16,10,12,19,24,25
550,2010/2/23,8,16,22,28,31
551,2010/3/2,1,2,10,24,31
552,2010/3/9,7,11,14,17,28
553,2010/3/16,2,13,23,24,30
554,2010/3/23,2,6,23,24,28
555,2010/3/30,1,15,18,24,29
556,2010/4/6,4,6,16,17,24
557,2010/4/13,8,18,21,22,28
558,2010/4/20,4,10,16,22,30
559,2010/4/27,2,4,7,11,16
560,2010/5/4,11,13,17,29,30
561,2010/5/11,1,5,6,16,25
562,2010/5/18,2,7,12,15,17
563,2010/5/25,4,5,18,19,30
564,2010/6/1,9,17,19,22,29
565,2010/6/8,18,19,20,28,29
566,2010/6/15,3,8,23,28,30
567,2010/6/22,10,12,20,24,25
568,2010/6/29,8,12,16,24,30
569,2010/7/6,10,17,23,26,28
570,2010/7/13,1,2,5,6,10
571,2010/7/20,9,22,27,28,29
572,2010/7/27,1,6,18,23,29
573,2010/8/3,15,21,22,23,29
574,2010/8/10,3,7,8,13,15
575,2010/8/17,10,16,20,21,27
576,2010/8/24,6,8,10,21,23
577,2010/8/31,5,10,21,24,25
578,2010/9/7,5,11,16,19,30
579,2010/9/14,1,4,15,17,23
580,2010/9/21,1,4,14,15,26
581,2010/9/28,2,6,12,14,30
582,2010/10/5,3,14,22,24,30
583,2010/10/12,1,3,10,11,16
584,2010/10/19,6,9,11,14,22
585,2010/10/26,14,19,23,24,31
586,2010/11/2,1,5,6,10,15
587,2010/11/9,11,17,19,29,30
588,2010/11/16,4,11,18,26,31
589,2010/11/23,3,10,13,22,26
590,2010/11/30,4,7,11,17,19
591,2010/12/7,4,8,9,13,19
592,2010/12/14,5,6,23,25,26
593,2010/12/21,11,14,22,28,29
594,2010/12/28,2,5,10,22,30
595,2011/1/4,7,11,15,20,23
596,2011/1/11,6,9,10,14,27
597,2011/1/18,2,13,16,17,19
598,2011/1/25,4,15,21,26,30
599,2011/2/1,3,7,10,11,29
600,2011/2/8,1,2,3,4,22
601,2011/2/15,10,14,15,16,24
602,2011/2/22,3,14,18,22,25
603,2011/3/1,4,5,26,28,30
604,2011/3/8,2,11,13,22,25
605,2011/3/15,5,6,13,19,28
606,2011/3/22,9,20,23,30,31
607,2011/3/29,7,8,12,18,30
608,2011/4/5,13,19,21,25,29
609,2011/4/12,3,14,21,26,30
610,2011/4/19,3,8,14,17,30
611,2011/4/26,12,18,21,25,30
